purchase_date,purchase_timestamp,store_id,customer_id,cashier_id,product_id,unit_price,discount,quantity,sales_value
2022-11-05,2022-11-05 10:00:49+09:00,2,1.0,11,120,2250,0,1,2250
2022-12-29,2022-12-29 15:00:19+09:00,2,1.0,10,18,560,240,2,1120
2022-12-31,2022-12-31 14:00:35+09:00,3,1.0,12,44,1575,675,1,1575
2022-04-01,2022-04-01 14:00:08+09:00,2,2.0,10,147,2850,150,1,2850
2022-04-06,2022-04-06 15:00:52+09:00,2,2.0,6,161,4275,225,1,4275
2022-05-06,2022-05-06 17:00:24+09:00,2,2.0,11,128,4275,225,1,4275
2022-05-15,2022-05-15 14:00:49+09:00,1,2.0,15,124,5130,270,1,5130
2022-05-26,2022-05-26 15:00:14+09:00,2,2.0,6,3,800,0,1,800
2022-05-28,2022-05-28 17:00:26+09:00,1,2.0,6,113,2250,0,1,2250
2022-07-22,2022-07-22 14:00:15+09:00,2,2.0,15,113,2250,0,1,2250
2022-08-04,2022-08-04 17:00:15+09:00,1,2.0,10,5,1350,0,1,1350
2022-08-07,2022-08-07 14:00:33+09:00,1,2.0,10,30,1500,0,1,1500
2022-08-15,2022-08-15 15:00:46+09:00,1,2.0,10,32,1200,0,1,1200
2022-09-10,2022-09-10 20:00:46+09:00,3,2.0,8,47,1080,120,1,1080
2022-09-16,2022-09-16 13:00:24+09:00,1,2.0,15,74,3400,0,1,3400
2022-09-26,2022-09-26 19:00:08+09:00,2,2.0,15,2,1080,120,1,1080
2022-10-06,2022-10-06 15:00:03+09:00,2,2.0,5,12,900,100,2,1800
2022-10-21,2022-10-21 18:00:04+09:00,2,2.0,15,149,6750,0,1,6750
2022-10-28,2022-10-28 15:00:05+09:00,1,2.0,15,125,4050,0,1,4050
2022-12-13,2022-12-13 13:00:56+09:00,1,2.0,10,14,1575,675,1,1575
2022-12-27,2022-12-27 17:00:50+09:00,2,2.0,10,172,4200,1800,2,8400
2021-05-16,2021-05-16 11:00:54+09:00,1,3.0,11,68,2250,0,1,2250
2021-06-26,2021-06-26 13:00:00+09:00,1,3.0,15,110,2000,0,1,2000
2021-09-18,2021-09-18 14:00:09+09:00,1,3.0,6,89,3400,0,1,3400
2022-03-10,2022-03-10 15:00:49+09:00,2,3.0,15,135,4275,225,1,4275
2022-08-21,2022-08-21 20:00:08+09:00,2,3.0,10,31,1600,0,1,1600
2022-09-12,2022-09-12 13:00:05+09:00,2,3.0,10,164,6750,0,1,6750
2022-10-26,2022-10-26 11:00:25+09:00,2,3.0,11,167,3600,0,1,3600
2022-12-10,2022-12-10 10:00:59+09:00,2,3.0,11,30,1050,450,2,2100
2022-10-09,2022-10-09 14:00:45+09:00,3,4.0,8,176,4500,0,1,4500
2022-12-28,2022-12-28 14:00:02+09:00,4,4.0,14,89,2380,1020,1,2380
2021-11-22,2021-11-22 16:00:40+09:00,1,5.0,15,158,4500,0,2,9000
2021-11-26,2021-11-26 19:00:41+09:00,1,5.0,6,30,1500,0,1,1500
2022-01-08,2022-01-08 15:00:03+09:00,1,5.0,11,179,4725,2025,2,9450
2022-08-03,2022-08-03 13:00:38+09:00,1,5.0,10,60,1500,0,1,1500
2022-12-17,2022-12-17 14:00:00+09:00,1,5.0,6,106,1680,720,2,3360
2021-07-23,2021-07-23 17:00:58+09:00,1,6.0,10,47,1200,0,1,1200
2021-08-19,2021-08-19 15:00:24+09:00,1,6.0,11,45,1500,0,1,1500
2022-03-15,2022-03-15 17:00:11+09:00,2,6.0,10,167,3420,180,2,6840
2022-06-21,2022-06-21 18:00:24+09:00,1,6.0,11,119,3400,0,1,3400
2022-10-04,2022-10-04 13:00:29+09:00,2,6.0,6,77,1800,0,1,1800
2022-10-04,2022-10-04 13:00:29+09:00,2,6.0,6,161,4500,0,1,4500
2022-11-10,2022-11-10 15:00:21+09:00,2,6.0,15,110,2000,0,1,2000
2022-07-18,2022-07-18 15:00:35+09:00,2,7.0,6,93,1200,0,1,1200
2022-10-25,2022-10-25 15:00:54+09:00,1,7.0,10,114,1500,0,1,1500
2022-10-25,2022-10-25 15:00:54+09:00,1,7.0,10,89,3400,0,1,3400
2022-10-25,2022-10-25 15:00:54+09:00,1,7.0,10,80,2000,0,2,4000
2022-10-25,2022-10-25 15:00:54+09:00,1,7.0,10,93,1200,0,1,1200
2022-04-21,2022-04-21 18:00:27+09:00,1,8.0,6,54,1000,0,1,1000
2022-12-14,2022-12-14 17:00:57+09:00,1,9.0,10,150,3150,1350,1,3150
2021-05-01,2021-05-01 16:00:41+09:00,1,10.0,15,90,2250,0,2,4500
2021-05-16,2021-05-16 17:00:13+09:00,1,10.0,15,14,2250,0,1,2250
2022-04-29,2022-04-29 20:00:59+09:00,3,10.0,3,171,2565,135,1,2565
2022-05-13,2022-05-13 15:00:00+09:00,3,10.0,8,101,2250,0,1,2250
2022-05-13,2022-05-13 15:00:00+09:00,3,10.0,8,131,4275,225,1,4275
2022-10-09,2022-10-09 17:00:46+09:00,3,10.0,12,87,1500,0,1,1500
2022-12-18,2022-12-18 15:00:31+09:00,1,11.0,11,35,945,405,2,1890
2021-06-26,2021-06-26 13:00:40+09:00,1,12.0,5,83,2250,0,1,2250
2021-10-12,2021-10-12 14:00:56+09:00,1,12.0,11,33,720,80,1,720
2022-04-09,2022-04-09 18:00:55+09:00,1,12.0,11,14,2250,0,1,2250
2022-07-10,2022-07-10 13:00:57+09:00,1,12.0,15,41,1500,0,2,3000
2022-08-03,2022-08-03 16:00:18+09:00,3,12.0,7,112,3000,0,1,3000
2022-09-21,2022-09-21 13:00:57+09:00,1,12.0,6,48,720,80,1,720
2022-11-29,2022-11-29 16:00:18+09:00,3,12.0,8,164,6750,0,1,6750
