filename,category_id
all-stores,1
designers,1
reporters,1
stores-after-20220101,1
tshirts-white-black,1
customers-without-birthday,1
salary-order,1
employee-age,1
products-no-sales,1
customers-registered-june,1
store-prefecture,1
sold-products-dec2021,1
someone-19890810,1
employees-not-manager,1
sold-products-over30,1
unit-price-rank,1
role-salary-rank,1
employee-fullname,1
unit-price-range,1
customer-birthyear,1
recent-customers,1
current_date_extract,2
age_calculation,2
employee-salary-ranking,2
first-customers,2
average_salary_calcuration,2
moving-average,2
longest-time-difference,2
creating_histogram,2
date_calculation,2
recent-holidays,2
registration-trend,2
sales-to-date,2
show-session-number,3
show-teradata-version,3
show-table,3
show-view,3
explain,3
table-size,3
table-skew,3
database-space,3
distance-between-offices,4
shinkansen-in-village,4
stations-at-ends,4
shikansen-no-stop,4
multipolygon-cities,4
show-geometry-columns,4
increase-rate,5
frequent-buyers,5
survival,5
fibonacci,6
pythagoras,6
greenery-day,6
