date,location,avg_temp,max_temp
2020/1/1,Tokyo,5.5,10.2
2020/1/2,Tokyo,6.2,11.3
2020/1/3,Tokyo,6.1,12
2020/1/4,Tokyo,7.2,12.2
2020/1/5,Tokyo,5.4,10.2
2020/1/6,Tokyo,7.5,12.2
2020/1/7,Tokyo,5.7,8.2
2020/1/8,Tokyo,5.2,7.6
2020/1/9,Tokyo,10.6,14.9
2020/1/10,Tokyo,8.4,12.6
2020/1/11,Tokyo,7,10.5
2020/1/12,Tokyo,6.7,10.2
2020/1/13,Tokyo,8.5,13.7
2020/1/14,Tokyo,8.4,13.5
2020/1/15,Tokyo,6.8,9.4
2020/1/16,Tokyo,6.7,10.9
2020/1/17,Tokyo,7.3,11.1
2020/1/18,Tokyo,3.8,7.2
2020/1/19,Tokyo,6.5,11.1
2020/1/20,Tokyo,7.5,14.1
2020/1/21,Tokyo,7.4,11.8
2020/1/22,Tokyo,4.9,7.3
2020/1/23,Tokyo,6.1,8.7
2020/1/24,Tokyo,9.9,13.4
2020/1/25,Tokyo,7.8,10.2
2020/1/26,Tokyo,5,7.6
2020/1/27,Tokyo,5.1,6.5
2020/1/28,Tokyo,4.4,7
2020/1/29,Tokyo,11.8,18.6
2020/1/30,Tokyo,11.7,17.5
2020/1/31,Tokyo,8.1,12.1
2020/2/1,Tokyo,7.9,13.4
2020/2/2,Tokyo,8.7,13.8
2020/2/3,Tokyo,9.3,15.2
2020/2/4,Tokyo,7.9,11.4
2020/2/5,Tokyo,7.6,15.2
2020/2/6,Tokyo,2.9,6.9
2020/2/7,Tokyo,2.4,6.9
2020/2/8,Tokyo,6.2,12.7
2020/2/9,Tokyo,3.9,8.3
2020/2/10,Tokyo,4.6,10.1
2020/2/11,Tokyo,6.3,11.7
2020/2/12,Tokyo,8.7,16
2020/2/13,Tokyo,11.7,18.2
2020/2/14,Tokyo,12,16
2020/2/15,Tokyo,12.4,16.2
2020/2/16,Tokyo,9.3,11.8
2020/2/17,Tokyo,10.3,16.8
2020/2/18,Tokyo,7.6,12.5
2020/2/19,Tokyo,8.1,13.3
